2025-09-07 16:18:33 [INFO] robots.txt loaded from https://robotwin-platform.github.io/robots.txt
2025-09-07 16:18:35 [INFO] Sitemap seeded: queue size now 1
2025-09-07 16:18:35 [INFO] Start crawl: base=https://robotwin-platform.github.io/doc/  out=/home/liwenbo/project/FlashRAG/construct_data/corpus_out
2025-09-07 16:18:35 [INFO] [1/2000000] Fetch #0: https://robotwin-platform.github.io/doc/ (queue=0)
2025-09-07 16:18:36 [INFO] [2/2000000] Fetch #1: https://robotwin-platform.github.io/doc/index.html (queue=205)
2025-09-07 16:18:36 [INFO] [3/2000000] Fetch #2: https://robotwin-platform.github.io/doc/usage/index.html (queue=408)
2025-09-07 16:18:37 [INFO] [4/2000000] Fetch #3: https://robotwin-platform.github.io/doc/common-issue/index.html (queue=610)
2025-09-07 16:18:38 [INFO] [5/2000000] Fetch #4: https://robotwin-platform.github.io/doc/tasks/index.html (queue=812)
2025-09-07 16:18:38 [INFO] [6/2000000] Fetch #5: https://robotwin-platform.github.io/doc/objects/index.html (queue=1010)
2025-09-07 16:18:39 [INFO] [7/2000000] Fetch #6: https://robotwin-platform.github.io/doc/community/index.html (queue=1206)
2025-09-07 16:18:40 [INFO] [8/2000000] Fetch #7: https://robotwin-platform.github.io/doc/main/contributions.html (queue=1398)
2025-09-07 16:18:41 [INFO] [9/2000000] Fetch #8: https://robotwin-platform.github.io/doc/usage/robotwin-install.html (queue=1588)
2025-09-07 16:18:42 [INFO] [10/2000000] Fetch #9: https://robotwin-platform.github.io/doc/usage/collect-data.html (queue=1779)
2025-09-07 16:18:42 [INFO] [HEARTBEAT] pages=10 failed=0 chunks=10 deduped=1 queue~1970 elapsed=7.4s
2025-09-07 16:18:42 [INFO] [11/2000000] Fetch #10: https://robotwin-platform.github.io/doc/usage/domain-randomization.html (queue=1969)
2025-09-07 16:18:43 [INFO] [12/2000000] Fetch #11: https://robotwin-platform.github.io/doc/usage/configurations.html (queue=2159)
2025-09-07 16:18:44 [INFO] [13/2000000] Fetch #12: https://robotwin-platform.github.io/doc/usage/control-robot.html (queue=2347)
2025-09-07 16:18:45 [INFO] [14/2000000] Fetch #13: https://robotwin-platform.github.io/doc/usage/deploy-your-policy.html (queue=2534)
2025-09-07 16:18:46 [INFO] [15/2000000] Fetch #14: https://robotwin-platform.github.io/doc/usage/ACT.html (queue=2720)
2025-09-07 16:18:47 [INFO] [16/2000000] Fetch #15: https://robotwin-platform.github.io/doc/usage/DP.html (queue=2905)
2025-09-07 16:18:48 [INFO] [17/2000000] Fetch #16: https://robotwin-platform.github.io/doc/usage/DP3.html (queue=3089)
2025-09-07 16:18:49 [INFO] [18/2000000] Fetch #17: https://robotwin-platform.github.io/doc/usage/RDT.html (queue=3272)
2025-09-07 16:18:49 [INFO] [19/2000000] Fetch #18: https://robotwin-platform.github.io/doc/usage/Pi0.html (queue=3454)
2025-09-07 16:18:50 [INFO] [20/2000000] Fetch #19: https://robotwin-platform.github.io/doc/usage/DexVLA.html (queue=3635)
2025-09-07 16:18:51 [INFO] [HEARTBEAT] pages=20 failed=0 chunks=20 deduped=1 queue~3816 elapsed=16.1s
2025-09-07 16:18:51 [INFO] [21/2000000] Fetch #20: https://robotwin-platform.github.io/doc/usage/TinyVLA.html (queue=3815)
2025-09-07 16:18:52 [INFO] [22/2000000] Fetch #21: https://robotwin-platform.github.io/doc/usage/OpenVLA-oft.html (queue=3994)
2025-09-07 16:18:53 [INFO] [23/2000000] Fetch #22: https://robotwin-platform.github.io/doc/usage/LLaVA-VLA.html (queue=4172)
2025-09-07 16:18:54 [INFO] [24/2000000] Fetch #23: https://robotwin-platform.github.io/doc/usage/expert-code-gen.html (queue=4349)
2025-09-07 16:18:55 [INFO] [25/2000000] Fetch #24: https://robotwin-platform.github.io/doc/usage/API.html (queue=4527)
2025-09-07 16:18:56 [INFO] [26/2000000] Fetch #25: https://robotwin-platform.github.io/doc/usage/dual-env-policy-deploy.html (queue=4702)
2025-09-07 16:18:57 [INFO] [27/2000000] Fetch #26: https://robotwin-platform.github.io/doc/usage/description.html (queue=4876)
2025-09-07 16:18:57 [INFO] [28/2000000] Fetch #27: https://robotwin-platform.github.io/doc/usage/object-annotation.html (queue=5049)
2025-09-07 16:18:58 [INFO] [29/2000000] Fetch #28: https://robotwin-platform.github.io/doc/usage/new-embodiment.html (queue=5222)
2025-09-07 16:18:59 [INFO] [30/2000000] Fetch #29: https://robotwin-platform.github.io/doc/usage/new-camera.html (queue=5393)
2025-09-07 16:19:00 [INFO] [HEARTBEAT] pages=30 failed=0 chunks=30 deduped=1 queue~5563 elapsed=25.1s
2025-09-07 16:19:00 [INFO] [31/2000000] Fetch #30: https://robotwin-platform.github.io/doc/tasks/adjust_bottle.html (queue=5560)
2025-09-07 16:19:01 [INFO] [32/2000000] Fetch #31: https://robotwin-platform.github.io/doc/tasks/beat_block_hammer.html (queue=5729)
2025-09-07 16:19:02 [INFO] [33/2000000] Fetch #32: https://robotwin-platform.github.io/doc/tasks/blocks_ranking_rgb.html (queue=5897)
